user_id,final_outbreak,std_outbreak,attack_rate,epidemic_probability,peak_infection,time_to_peak,duration,R0,growth_rate,strength,pagerank
286,4327.8,2163.533027249642,0.6030936454849498,0.8,2610.1,2.4,53.9,7.7,1.180168033407337,49.1651254279601,8.274228029381461e-05
4827,4327.7,2163.446604379225,0.6030797101449276,0.8,2586.8,1.6,45.8,188.0,0.47530818988029233,1140.2453878525464,0.00025600456067156115
3252,4327.7,2163.480300349416,0.6030797101449276,0.8,3116.8,5.5,50.8,0.5,1.4939141574879549,7.190821944017538,7.753786271200822e-05
1650,4327.7,2163.5734815346577,0.6030797101449276,0.8,2564.8,1.7,52.1,137.1,0.5304233111693037,864.6348809042581,0.00020655251745414974
2095,4327.5,2163.3092358698973,0.6030518394648829,0.8,2708.4,3.0,54.4,4.8,1.567198216356118,28.80900039964593,6.714271241514661e-05
5367,4327.4,2163.3610516971044,0.6030379041248606,0.8,2570.6,1.6,52.7,171.6,0.49473707228211744,1065.374978217615,0.00023786951290076047
468,4327.2,2163.201784392755,0.6030100334448161,0.8,2593.5,1.6,55.1,217.8,0.4389771036802232,1381.7523211478422,0.0003205631020661172
3305,4326.9,2163.0478704827597,0.6029682274247491,0.8,2589.0,1.6,48.9,205.2,0.44964948620499645,1259.5788756082143,0.00028349373299423573
4610,4326.7,2162.9802611212153,0.6029403567447046,0.8,2587.8,1.6,50.8,220.3,0.4456960508052814,1352.6351611454584,0.0003217810836656991
3731,4326.6,2162.8908525397205,0.6029264214046823,0.8,2518.5,2.4,54.4,32.0,0.8285927864146384,209.68790287084022,7.582731318078383e-05
4888,4326.5,2162.8956169912594,0.60291248606466,0.8,2553.8,1.6,51.3,127.0,0.5510615511815649,792.8959526113489,0.00018726694476087785
5231,4326.4,2162.7363315947696,0.6028985507246376,0.8,2588.9,1.6,50.2,224.7,0.43005252008404987,1418.3733191813055,0.0003654682384469936
2197,4326.4,2162.739013380949,0.6028985507246376,0.8,3059.5,6.5,53.7,0.6,1.4948870566604762,5.491174258868097,4.7971031979754625e-05
2825,4326.4,2162.8755026584404,0.6028985507246376,0.8,2551.0,1.6,53.5,89.4,0.61801866187281,588.0635723799959,0.0001393247820973479
2515,4326.4,2162.800323654498,0.6028985507246376,0.8,2580.5,1.6,47.9,214.3,0.4521259355143995,1365.812563295517,0.0003189644072233252
1839,4326.3,2162.741919416184,0.6028846153846155,0.8,2550.9,1.6,51.9,134.6,0.5338737847283593,904.5503435713543,0.0002066950747992725
5022,4326.3,2162.6947565479504,0.6028846153846155,0.8,2615.1,2.4,51.8,1.3,1.5811098975790259,15.98574471532175,2.6484499347535603e-05
5862,4326.2,2162.7873589421592,0.6028706800445931,0.8,2564.3,1.6,49.5,174.5,0.4815593678563028,1070.0180036015786,0.0002410650896878397
3792,4326.2,2162.6792087593576,0.6028706800445931,0.8,2573.9,1.6,51.4,163.2,0.4941988228196326,1040.9598028047885,0.00023370073965280297
5879,4326.1,2162.6459927597953,0.6028567447045708,0.8,2573.8,1.6,53.6,179.6,0.4871189137900931,1123.4544431544425,0.000250072933439767
2812,4326.1,2162.7164146045593,0.6028567447045708,0.8,3093.0,5.0,50.6,15.3,0.9300955323181297,91.42480677284769,0.0003246136480709582
6296,4326.0,2162.5637100441686,0.6028428093645485,0.8,3100.5,4.9,52.8,5.4,1.163199684265758,29.19573643311448,0.00013268082075222468
4154,4326.0,2162.5797095136168,0.6028428093645485,0.8,2550.4,2.4,48.6,16.7,0.9735466983695051,104.63780851568423,4.47081016630117e-05
6377,4325.9,2162.575244933688,0.6028288740245261,0.8,2595.0,2.9,51.4,1.0,1.8870141579275237,6.949469356544331,6.741040755062212e-05
179,4325.9,2162.4860438856017,0.6028288740245261,0.8,2584.3,1.6,48.2,198.3,0.4559124624751261,1244.2845132500952,0.0003177724671677303
65,4325.8,2162.464325717305,0.602814938684504,0.8,2547.8,1.8,51.0,80.3,0.6362723458353017,482.3020399702042,0.00011846197341035897
3558,4325.8,2162.579931470742,0.602814938684504,0.8,2570.8,1.6,49.4,182.8,0.4699428197834863,1177.555756626335,0.0002775796078810822
5928,4325.8,2162.4846727780523,0.602814938684504,0.8,2509.1,2.3,52.6,37.2,0.7935710406451995,227.86956940350285,8.824604549894396e-05
1406,4325.7,2162.4409379217736,0.6028010033444816,0.8,2571.2,1.6,50.2,171.2,0.4866240868533837,1077.714260758945,0.0002449289075813788
1074,4325.7,2162.4555972319986,0.6028010033444816,0.8,2543.2,3.3,50.6,0.2,1.918573864125393,3.944487330909191,3.413609548420727e-05
4880,4325.6,2162.3421190921663,0.6027870680044594,0.8,2558.6,2.4,53.6,15.4,0.9936634198347283,102.96514776314874,4.459464652351276e-05
2887,4325.6,2162.3996022937113,0.6027870680044594,0.8,2519.0,2.1,53.5,54.0,0.723212357078703,337.2837470647334,9.06041160763274e-05
