user_id,final_outbreak,std_outbreak,attack_rate,epidemic_probability,peak_infection,time_to_peak,duration,R0,growth_rate,strength,pagerank,eigenvector_centrality,approximate_current_flow_betweenness,clustering
4182,976.2,325.0822357496638,0.843733794295592,0.9,819.0,3.4,45.6,11.45,0.9811499818235929,612.1955260850266,0.0008532439929050037,0.02856494008462171,0.0010096086444673288,0.7336425869028327
1128,976.2,325.08500426811446,0.843733794295592,0.9,850.75,3.55,45.8,4.75,1.2550027271881237,244.01528022374185,0.00041707506468592045,0.012373178382194002,0.00047037470534146066,0.706895872532895
7043,976.1,325.0529033865103,0.843647363872083,0.9,837.5,3.0,46.05,16.3,0.8930759507682097,880.4935830825713,0.0012377360573220119,0.03749385130802439,0.0015458531941870961,0.6609685354350157
5283,976.05,325.02930252517234,0.8436041486603284,0.9,836.2,2.85,45.9,17.5,0.8617734476580248,861.8217868871617,0.0011880075081799307,0.03702547868452395,0.001505680898435323,0.6719604241784218
1135,976.05,325.0306870127804,0.8436041486603284,0.9,830.4,3.35,43.4,10.35,1.018687771813336,588.481465233896,0.0008244462135118784,0.027655963903143996,0.0009934227358029228,0.736832177301037
976,975.9,324.98290724282714,0.8434745030250648,0.9,833.05,3.5,46.3,7.35,1.1058437279778803,378.23051814681804,0.0006842272841069532,0.01866445562359005,0.0006613811950317326,0.7103978745632845
5992,975.75,324.9284344282599,0.8433448573898013,0.9,833.15,2.85,45.3,16.2,0.8817981949973718,850.2861153498964,0.001172257147536552,0.036590776813497206,0.0014687691921460905,0.6700719759509455
3636,975.75,324.929511586744,0.8433448573898013,0.9,832.4,3.0,47.25,14.6,0.9186172812016089,845.0069207818246,0.001158879064698584,0.036524047594627795,0.0014760529396914766,0.6774204221023801
3246,975.65,324.900950291008,0.8432584269662922,0.9,826.7,3.25,44.15,13.6,0.9422898957585607,755.6893184013136,0.001032575481420175,0.03373040975190666,0.0012093937786344555,0.7073136239807548
4975,975.6,324.8792698834445,0.8432152117545376,0.9,821.95,3.5,47.25,10.0,1.0231185788070254,586.6211489741472,0.0008225267192376632,0.02755726846152346,0.0009803926131231847,0.7337302098318785
472,975.6,324.8777308465448,0.8432152117545376,0.9,831.1,3.15,45.35,15.4,0.9102928609188934,880.0842354248734,0.0012383623274377228,0.03750170372952016,0.0015401762645882479,0.6622624641190286
5641,975.4,324.8181645167031,0.8430423509075194,0.9,826.55,3.15,47.65,13.35,0.9412270046527732,721.6607490902098,0.000988672193260884,0.032644221597759635,0.0011204149311550614,0.7212828200770978
597,925.7,388.4781975864283,0.8000864304235091,0.85,781.9,2.9,43.1,14.15,0.9024939210150551,833.0890822702389,0.0011390431363376692,0.036220474466821716,0.0014352547992898094,0.6849952615694312
4205,925.45,388.35672712082635,0.7998703543647364,0.85,780.85,3.0,44.25,11.5,0.9729464486025122,689.0938706054303,0.0009474242106729901,0.03151552529131706,0.0010939004355862772,0.7309375381077465
3875,925.25,388.27462896769345,0.7996974935177182,0.85,783.0,2.95,45.35,13.05,0.9374081819672765,701.888751437195,0.0009637022012253776,0.03193316921974011,0.001133269403323801,0.7249067142531791
226,925.15,388.2415839396908,0.7996110630942092,0.85,784.6,2.85,43.85,14.0,0.9091724767338463,817.6007843346605,0.001118668239271288,0.03567470664656037,0.0014296668337020718,0.6856185677315337
3909,925.1,388.20985304342804,0.7995678478824546,0.85,779.3,3.15,44.6,11.9,0.9598155916769755,694.4870113912345,0.0009541621338377349,0.031682268413380676,0.0010961615593896715,0.7273665337028726
3169,924.85,388.10916956444095,0.799351771823682,0.85,779.5,3.1,44.35,12.5,0.942316751219469,859.8764221350519,0.0011885516390086387,0.03687200106153176,0.0015023656546416322,0.6666318295981849
4026,924.75,388.0766515780098,0.7992653414001729,0.85,784.25,3.1,47.2,12.95,0.9460839724342882,853.0805429513738,0.0011768681188065475,0.03667007038501765,0.001492999020201849,0.6688070884241913
1120,924.75,388.0677614798735,0.7992653414001729,0.85,793.0,3.4,42.8,6.1,1.1453169896950877,378.90511816220317,0.000574769369475713,0.018726105208418165,0.0007226888966527939,0.7135912632566865
477,924.7,388.03519170302064,0.7992221261884184,0.85,785.55,2.8,45.1,14.2,0.9070926049136295,871.4067144093602,0.0012057193079595394,0.03729969764057118,0.0015218371068841728,0.6682730077917088
2167,924.65,388.0313486047229,0.7991789109766637,0.85,805.85,3.5,42.85,2.35,1.4102396018327499,119.0177042936088,0.00027119688671813904,0.006177995454801796,0.00031330592679924065,0.7087018813789568
3935,924.6,388.00378864129664,0.7991356957649093,0.85,782.55,3.0,42.2,11.75,0.9674623485140392,762.8315874410243,0.0010425472877574867,0.033968205741832284,0.0012150649971811604,0.7053350589501421
442,924.55,387.9833082749824,0.7990924805531546,0.85,811.7,3.45,46.35,2.7,1.3817287518298247,144.08648677972363,0.00030046132727376746,0.007437429381181393,0.0003219080950988534,0.708032424881214
1498,924.45,387.94387158453736,0.7990060501296457,0.85,778.55,2.95,42.25,11.65,0.9630872031002546,774.382485724467,0.0010567254239152884,0.03440160016070012,0.0012305513218352402,0.7057750939491871
5582,924.45,387.9293073486457,0.7990060501296457,0.85,784.0,2.85,45.05,15.0,0.8911770426881774,809.3814349015912,0.0011049984303361446,0.03545618510383718,0.001399354716434642,0.6904497492123519
2772,924.45,387.93755618655945,0.7990060501296457,0.85,780.45,2.9,43.15,14.25,0.907366229944523,753.6956068487276,0.0010300321718080894,0.03369088660709218,0.001276805436406347,0.70983173429108
5568,924.35,387.90517849082653,0.7989196197061366,0.85,782.55,2.75,42.15,15.0,0.8896357523784426,868.4713335678894,0.001201508832210498,0.03717435396575107,0.001516726222105465,0.6667909690233984
6946,924.3,387.8760240076718,0.798876404494382,0.85,804.7,3.6,44.95,1.15,1.5608017055210195,70.74435230764482,0.00021465403913871906,0.003697248717819288,0.00013665844416733654,0.7091137005780974
4349,924.25,387.8566584448435,0.7988331892826275,0.85,803.0,3.45,45.0,4.2,1.279921591444553,291.870859213986,0.0004729633327706942,0.014668445505247546,0.0005764372981278375,0.7090909901520016
1195,924.25,387.85253318755053,0.7988331892826275,0.85,783.15,2.9,40.9,14.45,0.9056330099784606,872.1912778528493,0.0012183360229405227,0.03728220019893243,0.0015247399002403263,0.6656567412481912
