user_id,final_outbreak,std_outbreak,attack_rate,epidemic_probability,peak_infection,time_to_peak,duration,R0,growth_rate,strength,pagerank
5112,1044.0,239.304617590217,0.902333621434745,0.95,911.15,2.85,53.35,39.15,0.5800103489884195,835.8392316384335,0.0011448764316413869
6907,1043.95,239.28486684284906,0.9022904062229905,0.95,916.25,2.85,47.55,36.2,0.6020443477134759,783.7957994245874,0.0010695725236101656
1520,1043.95,239.31077597968715,0.9022904062229905,0.95,939.9,2.85,48.85,17.9,0.7797684456393884,390.25183851247266,0.0005881976926802004
2096,1043.95,239.30534365116043,0.9022904062229905,0.95,909.8,2.85,46.75,36.45,0.595886804662639,769.0725249978742,0.0010503239768530905
3466,1043.95,239.29364283239957,0.9022904062229905,0.95,906.9,2.85,47.95,39.0,0.5781683064374669,841.7281581417643,0.0011537837560176168
3175,1043.95,239.29092648907522,0.9022904062229905,0.95,923.4,2.85,49.4,25.75,0.682529480722736,532.5107050643562,0.0007573433543675026
2225,1043.9,239.28955263446,0.9022471910112361,0.95,918.25,2.85,48.0,29.8,0.6436450027690143,630.6749090500124,0.0008756805872611766
1704,1043.9,239.28579147120294,0.9022471910112361,0.95,908.35,2.85,46.55,40.9,0.5635391226716671,891.204360364898,0.001286053325260532
6826,1043.9,239.2837019105146,0.9022471910112361,0.95,924.3,2.85,45.45,29.6,0.6498440233914833,631.8737336213709,0.0008771687397684828
6346,1043.85,239.28294444025883,0.9022039757994813,0.95,908.45,2.85,50.1,35.85,0.6016111520721757,778.5147383613343,0.0010614468639010754
5854,1043.85,239.27186942889884,0.9022039757994813,0.95,920.25,2.85,49.25,29.35,0.6513658643211981,621.2935492059892,0.0008642779409195187
4654,1043.85,239.28022797548485,0.9022039757994813,0.95,912.9,2.85,47.05,34.2,0.6099993132541753,752.3882481601053,0.0010380535422874673
5421,1043.85,239.28169069111829,0.9022039757994813,0.95,913.5,2.85,43.25,35.95,0.6025540529152672,790.1298824426018,0.0010770401524748544
6673,1043.8,239.26692207657956,0.9021607605877269,0.95,911.0,2.85,49.15,37.85,0.587798182987408,833.0563383939171,0.001249650990025728
3725,1043.8,239.26942972306344,0.9021607605877269,0.95,905.95,2.85,47.9,41.8,0.5626568163409073,882.7996000203618,0.0012304241194511052
2859,1043.7,239.24299362781767,0.9020743301642179,0.95,917.75,2.85,48.4,32.9,0.6214822401051475,685.2849146057464,0.0009426515508801698
4239,1043.65,239.2292362985762,0.9020311149524634,0.95,913.25,2.85,48.2,39.25,0.5815341455154422,897.2826937954293,0.0013400482938258993
565,1043.65,239.2258922023283,0.9020311149524634,0.95,945.25,2.95,47.4,5.05,1.1390691531514805,120.25508235704457,0.0002726617932000769
6737,1043.6,239.2259183282614,0.9019878997407087,0.95,939.65,2.85,49.0,16.45,0.8046595332570056,323.33634158062813,0.0005096783523691215
1316,1043.6,239.23093445455584,0.9019878997407087,0.95,918.1,2.85,51.95,34.65,0.6122022824675474,768.1257345836063,0.0010483907518378534
6662,1043.6,239.22926242414408,0.9019878997407087,0.95,926.7,2.85,49.75,26.0,0.6849338763645513,542.4058666507916,0.0007689056183285878
